Team,Season,HR,G,SOG,TOI
NYI,2015,Road,91,1140,135557
NYI,2015,Total,168,2189,275383
BUF,2015,Home,67,912,119216
BUF,2015,Road,54,931,118374
BUF,2015,Total,121,1843,237590
T.B,2015,Home,95,1070,136212
T.B,2015,Road,89,1162,138176
T.B,2015,Total,184,2232,274388
N.J,2015,Home,51,747,114926
N.J,2015,Road,57,759,115645
N.J,2015,Total,108,1506,230571
CHI,2015,Home,67,1064,132104
CHI,2015,Road,77,1127,128191
CHI,2015,Total,144,2191,260295
CGY,2015,Home,68,889,115289
CGY,2015,Road,84,968,120296
CGY,2015,Total,152,1857,235585
MTL,2015,Home,83,960,115907
MTL,2015,Road,63,1018,117608
MTL,2015,Total,146,1978,233515
STL,2015,Home,98,1250,147964
STL,2015,Road,76,1172,145764
STL,2015,Total,174,2422,293728
MIN,2015,Home,69,953,124435
MIN,2015,Road,81,984,126435
MIN,2015,Total,150,1937,250870
PIT,2015,Home,93,1274,148440
PIT,2015,Road,116,1510,155376
PIT,2015,Total,209,2784,303816
EDM,2015,Home,63,951,120887
EDM,2015,Road,71,922,112638
EDM,2015,Total,134,1873,233525
OTT,2015,Home,68,881,118181
OTT,2015,Road,80,924,117240
OTT,2015,Total,148,1805,235421
PHI,2015,Home,66,916,121238
PHI,2015,Road,70,1079,123965
PHI,2015,Total,136,1995,245203
ARI,2015,Home,60,872,113315
ARI,2015,Road,71,804,111017
ARI,2015,Total,131,1676,224332
L.A,2015,Home,75,1081,123807
L.A,2015,Road,72,1073,125313
L.A,2015,Total,147,2154,249120
S.J,2015,Home,97,1141,155541
S.J,2015,Road,98,1276,153583
S.J,2015,Total,195,2417,309124
DET,2015,Home,65,959,123971
DET,2015,Road,72,1015,118610
DET,2015,Total,137,1974,242581
NYR,2015,Home,82,990,127536
NYR,2015,Road,88,938,124533
NYR,2015,Total,170,1928,252069
CAR,2015,Home,60,910,119439
CAR,2015,Road,72,1006,121611
CAR,2015,Total,132,1916,241050
